"id","Gruppe","t0","t1","abg_1","abg_2","abg_3","abg_4","abg_5","abg_6","abg_7","Instruktionstreue","Abbruch","hochsch_01_t0","hochsch_02_t0","hochsch_03_t0","hochsch_04_t0","hochsch_05_t0","hochsch_05_t0_u","hochsch_06_t0","hochsch_06_t0_u","sesw_01_t0","sesw_02_t0","sesw_03_t0","sesw_04_t0","sesw_05_t0","sesw_06_t0","sesw_07_t0","sesw_08_t0","sesw_09_t0","sesw_10_t0","sesw_11_t0","sesw_12_t0","sesw_13_t0","psq_01_t0","psq_01_t0_u","psq_02_t0","psq_03_t0","psq_04_t0","psq_04_t0_u","psq_05_t0","psq_06_t0","psq_06_t0_u","psq_07_t0","psq_08_t0","psq_08_t0_u","psq_09_t0","psq_10_t0","psq_11_t0","psq_12_t0","psq_12_t0_u","psq_13_t0","psq_14_t0","psq_14_t0_u","psq_15_t0","psq_16_t0","psq_16_t0_u","psq_17_t0","psq_18_t0","psq_19_t0","psq_19_t0_u","psq_20_t0","ausgl_01_t0","ausgl_02_t0","ausgl_03_t0","ausgl_04_t0","ausgl_05_t0","alter","geschl","erststu","beruf","hochsch_01_t1","hochsch_02_t1","hochsch_03_t1","hochsch_04_t1","hochsch_05_t1","hochsch_05_t1_u","hochsch_06_t1","hochsch_06_t1_u","sesw_01_t1","sesw_02_t1","sesw_03_t1","sesw_04_t1","sesw_05_t1","sesw_06_t1","sesw_07_t1","sesw_08_t1","sesw_09_t1","sesw_10_t1","sesw_11_t1","sesw_12_t1","sesw_13_t1","psq_01_t1","psq_01_t1_u","psq_02_t1","psq_03_t1","psq_04_t1","psq_04_t1_u","psq_05_t1","psq_06_t1","psq_06_t1_u","psq_07_t1","psq_08_t1","psq_08_t1_u","psq_09_t1","psq_10_t1","psq_11_t1","psq_12_t1","psq_12_t1_u","psq_13_t1","psq_14_t1","psq_14_t1_u","psq_15_t1","psq_16_t1","psq_16_t1_u","psq_17_t1","psq_18_t1","psq_19_t1","psq_19_t1_u","psq_20_t1","ausgl_01_t1","ausgl_02_t1","ausgl_03_t1","ausgl_04_t1","ausgl_05_t1","ev_persprof","ev_durchf","ev_konz","ev_konz_u","ev_zurh","ev_zurh_u","ev_schwk","m_sesw_t0","m_sesw_t1","m_psq-gesamt_t0","m_psq-gesamt_t1","m_psq-sorgen_t0","m_psq-sorgen_t1","m_psq-anspannung_t0","m_psq-anspannung_t1","m_psq-freude_t0","m_psq-freude_t1","m_psq-anforderungen_t0","m_psq-anforderungen_t1","Stress-Reduktion"
"3",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,5,5,3,4,2,4,2,4,1,2,2,3,1,1,4,1,5,4,5,3,4,1,4,4,2,2,3,4,1,4,4,3,2,3,4,1,3,2,4,2,3,4,1,4,4,4,4,1,2,1,1,2,2,3,-99.0,1,1,1,5,5,4,5,3,3,5,1,1,4,1,4,5,4,5,1,5,2,4,2,3,1,4,4,4,2,3,4,1,4,4,3,2,4,4,3,2,3,4,3,2,4,1,4,4,4,2,3,4,1,2,4,3,4,1,2,1,5,1,5,1,2.769230769230769,3.1538461538461537,3.15,3.6,4.0,4.0,3.8,4.0,2.8,2.8,2.0,3.6,-0.4500000000000002
"5",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,4,4,3,4,4,2,3,3,2,4,2,4,3,3,5,3,2,3,4,4,4,2,3,2,3,2,3,3,2,3,3,1,4,3,2,2,2,3,3,2,3,4,1,4,3,4,1,4,3,1,1,1,3,3,19.0,1,1,2,4,4,3,4,4,2,3,3,3,4,2,4,4,4,4,2,2,3,3,3,3,2,3,2,3,2,3,3,2,3,2,1,4,3,2,2,2,3,2,2,3,3,1,4,3,2,1,4,2,3,2,1,2,3,4,3,1,5,2,4,4,3.3076923076923075,3.1538461538461537,3.1,2.8,3.0,2.4,3.2,2.8,3.4,3.4,2.8,2.6,0.30000000000000027
"7",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,3,5,4,5,2,4,3,3,2,4,3,4,2,3,4,4,5,5,4,4,3,2,3,2,3,2,3,3,2,3,3,1,4,2,1,2,3,2,2,2,3,4,2,3,4,2,2,3,2,1,1,1,4,2,19.0,2,1,2,3,4,4,5,2,4,3,3,2,4,3,3,2,4,4,4,4,5,5,4,4,2,3,2,4,2,3,2,3,2,3,1,4,2,2,2,3,2,2,2,3,2,2,3,3,4,2,3,2,4,2,1,4,3,3,2,3,3,1,5,3,3.6153846153846154,3.6923076923076925,2.7,2.65,2.6,2.2,2.8,2.8,3.0,3.0,2.4,2.6,0.050000000000000266
"8",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,4,5,4,4,2,4,3,3,5,4,3,5,3,3,5,4,4,5,3,3,3,2,3,2,3,4,1,1,2,3,1,3,2,2,1,1,3,2,1,4,1,2,3,2,1,1,1,4,4,3,1,1,5,5,19.0,1,1,1,4,5,4,5,4,2,4,2,5,5,4,4,4,4,5,4,5,5,4,4,3,3,2,3,4,2,3,1,3,2,2,3,2,2,3,2,4,1,2,4,1,2,3,2,1,1,3,2,3,4,3,1,3,5,5,4,1,5,1,5,5,3.8461538461538463,4.3076923076923075,1.9,2.05,1.2,2.0,2.0,1.6,1.6,1.8,2.8,2.8,-0.1499999999999999
"9",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,4,4,4,4,2,4,4,2,4,3,4,5,4,4,4,4,3,4,4,4,3,2,3,2,3,3,2,2,2,3,1,3,2,3,2,3,3,2,2,4,1,2,4,1,1,2,2,3,2,1,1,1,4,4,20.0,1,1,1,5,5,3,3,3,3,4,2,4,3,3,4,4,4,4,5,4,4,4,4,4,2,3,2,3,3,2,2,2,3,2,3,2,3,2,4,3,2,2,4,1,2,3,2,2,2,2,3,3,4,2,3,4,3,4,3,5,1,3,3,2,3.8461538461538463,3.923076923076923,2.1,2.35,1.8,2.0,2.4,2.6,1.6,1.8,2.6,3.0,-0.25
"11",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,4,5,5,4,2,4,2,4,4,5,4,5,4,4,5,5,5,5,5,4,4,2,3,1,2,4,1,2,4,1,2,3,2,2,1,1,4,1,2,4,1,2,3,2,2,2,4,1,2,1,1,1,4,5,19.0,1,1,2,5,5,5,4,2,4,2,4,4,5,4,5,4,5,5,5,5,5,4,4,4,3,2,2,2,4,1,2,4,1,1,3,2,1,2,1,4,1,3,4,1,3,2,3,2,2,4,1,1,5,1,1,4,5,4,5,1,5,1,5,2,4.538461538461538,4.538461538461538,1.65,1.7,1.8,2.2,2.0,1.6,1.4,1.6,1.4,1.4,-0.050000000000000044
"12",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,5,5,5,4,2,4,1,5,4,4,4,5,5,4,5,4,3,3,4,4,4,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,4,1,2,3,2,3,2,3,2,2,2,3,2,1,2,2,3,3,19.0,1,1,2,5,5,5,3,4,2,3,3,4,3,3,4,4,4,5,4,3,3,4,4,4,3,2,3,3,3,2,4,2,3,3,3,2,3,2,3,3,2,2,3,2,3,2,3,3,2,2,3,3,3,4,3,3,3,4,4,1,5,1,5,2,4.076923076923077,3.769230769230769,2.4,2.65,2.4,2.8,2.6,2.6,2.0,2.2,2.6,3.0,-0.25
"13",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,5,5,5,4,2,4,2,4,2,5,4,5,5,4,5,5,4,4,5,4,5,3,2,1,2,4,1,1,3,2,1,3,2,1,1,1,3,2,1,4,1,1,4,1,1,2,3,2,2,5,2,1,5,3,19.0,1,1,1,5,5,4,3,4,2,4,2,4,5,4,5,5,4,5,5,3,3,5,5,5,3,2,1,1,3,2,1,3,2,1,3,2,1,1,2,4,1,2,4,1,1,4,1,1,2,3,2,2,4,3,2,5,4,2,4,2,4,1,5,2,4.384615384615385,4.461538461538462,1.4,1.45,1.0,1.2,1.6,1.6,1.4,1.4,1.6,1.6,-0.050000000000000044
"15",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,4,5,4,2,4,2,3,3,5,3,4,3,4,4,5,3,4,4,4,3,3,2,3,2,3,2,3,2,3,2,1,2,3,2,1,2,4,1,2,3,2,2,2,3,1,1,2,3,1,1,2,2,2,3,19.0,1,1,2,4,4,3,3,3,3,4,2,5,4,3,4,3,4,5,4,5,4,4,3,3,3,2,2,4,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2,1,4,3,4,2,1,2,3,3,4,4,2,2,4,2,3.769230769230769,3.923076923076923,2.0,2.6,1.6,2.2,1.8,2.4,2.4,2.6,2.2,3.2,-0.6000000000000001
"17",1,1,1,"erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt","erfüllt",1,1,4,5,5,3,3,3,2,4,4,3,3,3,3,3,4,4,4,4,5,4,3,2,3,2,2,4,1,2,3,2,1,2,3,2,2,1,3,2,2,4,1,1,4,1,2,1,2,3,1,1,1,1,3,4,-99.0,1,1,2,5,5,4,4,4,2,2,4,5,3,4,4,5,4,5,5,4,4,4,4,3,2,3,2,2,3,2,1,3,2,1,3,2,2,1,2,3,2,2,4,1,1,3,2,2,2,2,3,2,3,1,1,2,4,4,3,2,4,2,4,2,3.6153846153846154,4.153846153846154,1.75,1.85,1.6,1.2,2.0,2.2,1.6,1.8,1.8,2.2,-0.10000000000000009
